Chart Date|Rank|Album|Artist|Spotify Album ID|Peak Pos|Weeks|Change
2017-02-25|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|39|0
2017-02-25|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|44|0
2017-02-25|3|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|35|+1
2017-02-25|4|Fire On The Floor|Beth Hart|2lsOrtqnpScvxYvOrqQcl3|4|1|Hot Shot Debut
2017-02-25|5|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|85|+1
2017-02-25|6|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|95|-1
2017-02-25|7|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|80|0
2017-02-25|8|The Search For Everything : Wave One (EP)|John Mayer||1|3|-5
2017-02-25|9|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|81|0
2017-02-25|10|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|3|0
2017-02-25|11|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|8|7|-3
2017-02-25|12|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|80|+1
2017-02-25|13|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|42|+2
2017-02-25|14|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|3|-3
2017-02-25|15|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|192|+1
2017-02-25|16|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|16|3|+1
2017-02-25|17|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|81|+4
2017-02-25|18|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|19|0
2017-02-25|19|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|13|0
2017-02-25|20|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|77|+5
2017-02-25|21|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|22|+2
2017-02-25|22|Greatest Hits|James Taylor|2L4U4JjEADYaVltkvDrkCC|13|2|Re-Entry
2017-02-25|23|Folk Hop N' Roll|Judah And The Lion|3d3d8uECW5WGhqL8vai8q3|7|4|Re-Entry
2017-02-25|24|Sound & Color|Alabama Shakes|03nQNGFi3dIxg6ghNbtVWW|8|22|0
2017-02-25|25|All The Little Lights|Passenger|2sRnJq6dfXdqhIflBk0ve1|1|84|Re-Entry
2017-02-18|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|38|+1
2017-02-18|2|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|43|+1
2017-02-18|3|The Search For Everything : Wave One (EP)|John Mayer||1|2|-2
2017-02-18|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|34|0
2017-02-18|5|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|94|+2
2017-02-18|6|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|84|-1
2017-02-18|7|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|79|-1
2017-02-18|8|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|8|6|+14
2017-02-18|9|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|80|+2
2017-02-18|10|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|2|+13
2017-02-18|11|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|2|-3
2017-02-18|12|The Fall|Joshua Radin|2fYkkAXRAWKkweqOaRzwYG|12|1|Hot Shot Debut
2017-02-18|13|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|79|-1
2017-02-18|14|Prick Of The Litter|Delbert McClinton & Self-Made Men||14|1|New
2017-02-18|15|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|41|-5
2017-02-18|16|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|191|-2
2017-02-18|17|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|17|2|0
2017-02-18|18|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|18|-3
2017-02-18|19|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|12|-3
2017-02-18|20|Furnace|Dead Man Winter|6062DQkgLfs22EtZX4GTjl|20|1|New
2017-02-18|21|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|80|-3
2017-02-18|22|Stitch Of The World|Tift Merritt|1njs7S9CISvqEMQqx6zGd1|22|1|New
2017-02-18|23|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|21|+1
2017-02-18|24|Sound & Color|Alabama Shakes|03nQNGFi3dIxg6ghNbtVWW|8|21|Re-Entry
2017-02-18|25|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|76|-6
2017-02-11|1|The Search For Everything : Wave One (EP)|John Mayer||1|1|Hot Shot Debut
2017-02-11|2|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|37|-1
2017-02-11|3|Cleopatra|The Lumineers|2zbTrm2pIAErzFSopinkbN|1|42|0
2017-02-11|4|A / B|Kaleo|4he4SQup02hEIQdwhZlZlk|3|33|0
2017-02-11|5|Hozier|Hozier|7HW03Zew4rnOhy5uwskRSz|1|83|Re-Entry
2017-02-11|6|+|Ed Sheeran|3Zao4egmTSVP5LfAhHO4o1|1|78|Re-Entry
2017-02-11|7|The Lumineers|The Lumineers|155N1gV0cIFYaLiy3I5d83|1|93|Re-Entry
2017-02-11|8|Continuum|John Mayer|1Xsprdt1q9rOzTic7b9zYM|8|1|New
2017-02-11|9|The Best Of Simon & Garfunkel|Simon & Garfunkel|1QZN8UEUSKscmRiAWLZHGg|9|1|New
2017-02-11|10|A Sailor's Guide To Earth|Sturgill Simpson|5I3UdCxtIh6hkQ7rMPUvA4|1|40|-8
2017-02-11|11|Chaos And The Calm|James Bay|3GqsyMrJu3o8jLiGyBsBQW|1|79|Re-Entry
2017-02-11|12|Dream Your Life Away|Vance Joy|6rIbiUMmZJfqJRnXhVxFvg|2|78|Re-Entry
2017-02-11|13|Greatest Hits|James Taylor|2L4U4JjEADYaVltkvDrkCC|13|1|New
2017-02-11|14|Sigh No More|Mumford & Sons|4EnpeGmIkEf8nAaBLLTBZn|1|190|Re-Entry
2017-02-11|15|22, A Million|Bon Iver|1PgfRdl3lPyACfUGH4pquG|1|17|-9
2017-02-11|16|The Essential Bob Dylan (2014)|Bob Dylan|1y3abw64BlSEeFuuhjlke1|16|11|Re-Entry
2017-02-11|17|In Between Dreams|Jack Johnson|7tTc46dNdE6GGuiQsssWxo|17|1|New
2017-02-11|18|Babel|Mumford & Sons|5uJpRBjDkTW8wtwDimhkdm|1|79|Re-Entry
2017-02-11|19|Nathaniel Rateliff & The Night Sweats|Nathaniel Rateliff & The Night Sweats|4fJVmBWTmwohP1RgAS5a2W|1|75|-11
2017-02-11|20|Folk Hop N' Roll|Judah And The Lion|3d3d8uECW5WGhqL8vai8q3|7|3|+2
2017-02-11|21|The Intro (EP)|Ruth B||7|36|Re-Entry
2017-02-11|22|Chain Breaker|Zach Williams|1bvp9WHoru1DM93wIn4sAm|16|5|-6
2017-02-11|23|Simon And Garfunkel's Greatest Hits|Simon & Garfunkel|6chHu0q9oavsCDEB8vMiTw|10|1|New
2017-02-11|24|Signs Of Light|The Head And The Heart|0EFitK3T7hqin7iGMbpltM|1|20|-13
2017-02-11|25|Hope|The Strumbellas|3WssRTXDMQPIv8uFBVkEZH|3|17|Re-Entry
2017-02-04|1|Traveller|Chris Stapleton|5vfPzN4hQAajJEUrZHlJgx|1|36|0
